run_id,mode,asset,signal,start_time,end_time,trades,win_rate,avg_pnl,total_pnl,drawdown
2026-04-17-21-40-41,2026-04-18T04:40:41.999414,2026-04-18T04:41:23.898408,7434,45.6,-7.66,423.16,-57350.42,100.7,1.79,0,17.4
2026-04-17-23-59-19,2026-04-18T06:59:19.240360,2026-04-18T06:59:55.947442,8694,46.1,-7.07,2750.81,-64225.83,104.3,1.81,0,17.4
2026-04-17-23-59-55,2026-04-18T06:59:55.949298,2026-04-18T07:04:36.719432,38,55.3,4.09,127.25,28.23,350.8,2.18,0,23.7
2026-04-18-00-12-44,2026-04-18T07:12:44.318777,2026-04-18T07:13:07.845904,8740,46.2,-7.02,2949.65,-64278.77,104.6,1.81,0,17.4
2026-04-18-00-22-48,2026-04-18T07:22:48.064620,2026-04-18T07:24:19.465085,8784,46.1,-7.09,2690.77,-64962.56,104.1,1.81,0,17.4
2026-04-18-00-42-18,2026-04-18T07:42:18.323650,2026-04-18T07:42:40.945076,8900,46.1,-7.02,3068.31,-65550.25,104.7,1.81,0,17.4
2026-04-18-00-50-45,2026-04-18T07:50:45.476340,2026-04-18T07:51:09.263627,8908,46.1,-7.05,2960.36,-65789.44,104.5,1.81,0,17.4
2026-04-18-00-51-09,2026-04-18T07:51:09.265134,2026-04-18T08:02:38.662265,104,45.2,-6.75,237.62,-939.4,125.3,1.95,0,17.3
2026-04-18-01-10-00,2026-04-18T08:10:00.026123,2026-04-18T08:10:28.276454,9074,46.2,-7.04,3308.35,-67214.35,104.9,1.81,0,17.4
2026-04-18-01-16-12,2026-04-18T08:16:12.415817,2026-04-18T08:16:37.318987,9116,46.2,-7.03,3317.16,-67366.95,104.9,1.81,0,17.4
2026-04-18-01-16-37,2026-04-18T08:16:37.320218,2026-04-18T08:29:44.527289,120,41.7,-11.7,-81.22,-1322.32,93.9,1.71,0,12.5
2026-04-18-01-29-44,2026-04-18T08:29:44.530407,2026-04-18T08:39:30.082562,62,48.4,-7.4,62.89,-521.75,112.1,1.88,0,22.6
2026-04-18-01-39-30,2026-04-18T08:39:30.084134,2026-04-18T08:45:35.527008,64,51.6,5.41,282.98,63.19,347.8,1.74,0,18.8
2026-04-18-01-45-35,2026-04-18T08:45:35.530693,2026-04-18T08:48:18.142722,30,33.3,-14.27,-56.01,-371.94,84.9,1.39,0,10.0
2026-04-18-01-48-18,2026-04-18T08:48:18.150923,2026-04-18T08:53:03.483944,28,42.9,-9.02,-3.07,-249.42,98.8,1.45,0,14.3
2026-04-25-21-03-36,2026-04-26T04:03:36.343260,2026-04-26T04:07:33.310023,5994,24.6,-8.02,-76.9,-48022.17,99.8,1.84,0,0.7
